ID,WEEK,Z1,Z2,Z3,Z4,Z5,Z6,Z6A,Z6AA,Z6AB,Z6B,Z6C,Z6D,Z7,Z8,Z9,Z9A,Z9AA,Z10,Z10A,Z11,Z11A,Z12,SEX,METRO,REGION,HWEIGHT,PWEIGHT,STATE,AW1,AW2,AW3,AW4,AW5A,AW5B,AW6,AW7,AW8,AW9A,AW9B,AW9C,AW19,AW20,AW21
753,838,1,2,1,1,,4,2,1,1,0,0,2,25,2,6,,,2,,1,3,0,2,1,3,0.947,1.819,13,2,,,,,,,,,,,,3,1,2
754,838,1,2,1,1,,4,2,1,1,1,0,1,45,3,7,,,2,,1,1,1,2,2,3,0.303,0.576,47,2,,,,,,,,,,,,1,,3
755,838,1,2,1,1,,2,2,1,1,,,,32,4,8,,,2,,1,2,2,2,1,3,0.392,0.753,10,1,3,5,2,,1,,2,1,3,1,3,2,,3
756,838,1,2,1,1,,2,2,1,1,,,,59,5,9,,2,2,,1,2,1,1,2,2,0.303,0.601,27,2,,,,,,,,,,,,2,,2
757,838,2,1,1,3,3,1,,1,0,,,,22,3,4,,,2,,1,0,0,1,1,2,1.118,1.004,19,2,,,,,,,,,,,,0,7,7
758,838,1,2,1,3,1,2,2,1,1,,,,60,2,5,,,2,,1,2,0,1,1,3,0.841,1.615,24,1,2,5,8,,,0,3,1,2,4,2,2,,4
759,838,1,2,1,2,,5,2,1,1,1,1,1,38,3,6,,,2,,1,2,0,2,2,3,0.643,1.222,28,1,3,5,1,1,,,1,1,3,3,1,2,,3
760,838,1,2,1,1,,3,2,1,1,1,0,0,43,6,7,,,2,,1,3,0,2,2,2,0.594,1.177,27,1,3,5,1,1,,,1,1,1,3,1,3,2,5
761,838,1,1,2,2,,7,3,2,1,2,1,1,18,1,6,,,1,1,,2,1,1,2,3,0.446,1.643,48,1,1,4,1,2,,,1,7,3,3,2,2,,3
762,838,2,4,1,3,1,1,,1,0,,,,61,1,2,,,1,1,,2,0,1,1,2,3.635,3.265,46,8,,,,,,,,,,,,2,,3
763,838,1,2,1,1,,3,3,1,2,,,,46,2,9,,2,2,,1,1,2,1,1,3,0.374,0.718,51,1,4,4,1,2,,,1,1,2,1,3,1,,2
