ID,WEEK,Z1,Z2,Z3,Z4,Z5,Z6,Z6A,Z6AA,Z6AB,Z6B,Z6C,Z6D,Z7,Z8,Z9,Z9A,Z9AA,Z10,Z10A,Z11,Z11A,Z12,SEX,METRO,REGION,HWEIGHT,PWEIGHT,STATE,WP1,WP2,WP3,WP4A,WP4B,WP4C,WP5,WP6
98,928,1,3,1,1,,1,,1,0,,,,68,5,6,,,2,,1,2,1,1,2,4,0.559,0.484,30,3,5,3,,,1,7,
99,928,1,2,1,1,,3,2,1,1,0,1,0,42,2,5,,,2,,1,3,0,1,1,3,0.738,1.282,47,2,1,2,,1,,,
100,928,1,2,1,1,,2,2,1,1,,,,48,6,6,,,2,,1,3,0,2,1,3,0.948,1.574,5,3,5,1,1,,,,
101,928,2,1,1,3,4,3,3,3,0,,,,22,4,3,,,2,,1,3,0,1,1,1,0.614,0.991,25,3,5,2,,2,,,
102,928,1,5,1,1,,5,2,1,1,3,0,0,33,6,6,,,2,,1,1,0,1,2,3,0.343,0.769,37,3,5,1,1,,,,
103,928,2,1,1,1,,2,2,0,2,,,,26,4,7,,,2,,1,3,0,2,1,2,0.692,1.283,17,3,5,3,,,2,2,
104,928,1,2,1,3,1,2,2,1,1,,,,70,3,5,,,2,,1,2,0,1,1,3,0.722,1.363,12,4,5,2,,1,,,
105,928,1,2,1,3,1,2,2,1,1,,,,63,1,1,,,2,,1,2,0,2,1,3,4.02,6.678,48,1,1,2,,1,,,
106,928,1,2,2,1,,2,2,1,1,,,,49,3,5,,,2,,1,1,0,2,2,4,0.582,1.317,41,3,5,1,1,,,,
107,928,1,2,1,1,,2,2,1,1,,,,28,2,5,,,1,1,,2,0,1,1,3,0.956,1.588,48,3,5,8,,,,,2
108,928,2,1,2,3,4,4,4,3,1,,,,26,1,1,,,2,,2,1,0,1,2,3,1.776,6.865,22,4,5,1,1,,,,
109,928,1,2,1,1,,5,2,1,1,0,0,3,37,4,6,,,2,,1,3,0,1,2,2,0.311,0.641,17,3,5,1,2,,,,
110,928,1,1,2,1,,3,3,2,1,,,,19,3,8,,,2,,1,2,0,1,1,4,1.145,4.332,53,2,4,8,,,,,8
111,928,2,1,1,1,,1,,1,0,,,,22,4,5,,,2,,1,3,0,1,2,4,0.858,0.742,16,2,5,3,,,1,1,
112,928,2,2,1,1,,5,2,1,1,2,1,0,37,1,7,,,2,,1,1,0,1,1,4,3.439,6.501,53,4,5,1,1,,,,
113,928,2,2,1,3,2,4,2,1,1,0,0,2,29,2,6,,,2,,1,1,0,2,1,4,1.262,2.386,6,2,3,1,1,,,,
114,928,1,4,1,3,1,1,,0,1,,,,66,4,2,,,2,,1,3,0,2,1,4,1.516,2.865,6,3,5,8,,,,,8
115,928,1,2,1,1,,2,2,1,1,,,,56,5,7,,,2,,1,1,0,2,1,4,0.778,1.756,4,3,5,1,1,,,,
116,928,1,2,1,3,2,3,2,1,1,0,0,1,32,5,6,,,2,,5,3,0,2,1,3,0.667,1.26,24,4,3,1,1,,,,
117,928,1,2,2,2,,2,2,1,1,,,,63,3,99,9,,2,,1,2,0,2,1,3,1.5,2.492,40,4,5,2,,1,,,
118,928,1,2,1,1,,5,4,1,3,1,0,0,49,3,8,,,2,,1,2,0,1,2,3,0.694,1.332,21,3,5,2,,1,,,
119,928,1,1,2,1,,4,3,1,2,1,0,0,21,4,9,,2,1,1,,2,1,2,1,1,0.671,2.434,34,1,1,7,,,,,2
120,928,1,2,1,1,,3,2,1,1,1,0,0,38,1,5,,,2,,1,2,0,1,2,3,1.784,3.42,21,1,3,1,2,,,,
121,928,1,2,1,3,5,3,3,2,1,,,,47,2,4,,,2,,1,3,1,1,1,1,0.358,1.159,25,3,5,8,,,,,1
122,928,1,1,2,1,,4,4,2,2,,,,22,2,9,,2,2,,1,2,1,1,1,2,0.385,1.424,17,3,5,2,,1,,,
123,928,1,2,1,1,,5,2,1,1,1,2,0,34,2,6,,,2,,1,1,0,1,1,2,0.623,1.156,55,1,3,8,,,,,8
124,928,2,5,1,2,,1,,0,1,,,,34,4,7,,,2,,1,2,0,2,1,4,1.032,1.95,6,3,5,2,,2,,,
125,928,1,2,1,1,,4,2,1,1,2,0,0,46,4,8,,,2,,1,2,0,1,2,3,0.836,1.615,22,3,5,1,1,,,,
127,928,1,2,1,3,2,4,2,1,1,0,2,0,35,3,8,,,2,,1,2,0,2,1,2,0.91,1.81,29,4,5,2,,2,,,
128,928,1,2,1,3,1,2,2,1,1,,,,82,3,5,,,2,,1,3,0,2,2,4,1.13,1.956,16,4,5,2,,2,,,
129,928,1,2,1,1,,6,2,1,1,0,3,1,38,3,6,,,2,,1,1,0,1,1,4,0.701,1.583,49,3,5,1,2,,,,
130,928,1,1,2,1,,4,3,2,1,1,0,0,20,3,8,,,2,,1,3,0,1,1,1,0.614,1.982,25,3,5,3,,,1,2,
131,928,1,2,1,1,,4,2,1,1,0,0,2,27,3,3,,,2,,1,3,0,1,1,2,0.748,1.487,29,4,5,3,,,1,2,
132,928,2,2,1,1,,3,3,2,1,,,,49,2,3,,,2,,1,2,0,2,2,2,0.55,1.011,46,3,4,8,,,,,7
133,928,1,2,1,1,,4,2,1,1,2,0,0,45,3,6,,,2,,1,1,0,2,1,3,0.597,1.126,54,4,5,1,1,,,,
134,928,1,2,1,3,2,2,2,1,1,,,,36,2,7,,,2,,1,3,0,2,1,4,1.131,2.137,6,1,1,7,,,,,2
135,928,1,1,1,3,4,1,,1,0,,,,34,4,5,,,2,,1,3,0,1,2,2,0.44,0.453,39,4,5,3,,,2,1,
136,928,1,2,1,1,,8,5,1,4,3,0,0,42,4,99,9,,2,,1,3,0,1,1,3,0.904,1.501,48,3,5,3,,,1,1,
137,928,1,2,1,1,,2,2,1,1,,,,60,3,9,,1,2,,1,1,0,1,1,2,0.786,1.457,26,3,5,3,,,2,1,
138,928,1,4,1,3,1,1,,0,1,,,,68,3,6,,,2,,1,1,0,2,1,4,1.855,3.507,53,3,5,1,2,,,,
139,928,1,2,1,1,,2,2,1,1,,,,33,3,7,,,2,,1,3,0,1,2,1,0.356,0.657,44,3,5,2,,2,,,
140,928,1,5,1,3,1,2,2,1,1,,,,57,4,6,,,2,,1,1,1,2,2,3,0.22,0.493,45,3,4,1,2,,,,
141,928,1,1,1,1,,2,1,1,0,1,0,0,39,3,6,,,2,,1,1,0,1,2,4,0.804,0.696,16,3,5,1,1,,,,
142,928,1,5,1,1,,3,2,0,2,1,0,0,47,4,6,,,2,,1,2,0,2,1,3,0.488,0.921,24,2,5,3,,,1,2,
143,928,1,2,1,1,,2,2,1,1,,,,53,2,5,,,2,,1,2,0,1,2,3,0.694,1.332,21,4,5,8,,,,,2
144,928,2,5,1,3,4,1,,0,1,,,,41,2,2,,,2,,1,1,0,2,1,1,0.967,1.754,42,2,4,1,2,,,,
145,928,2,2,1,1,,2,2,1,1,,,,33,2,8,,,2,,1,1,0,1,1,1,0.794,1.442,36,3,5,1,2,,,,
146,928,2,1,1,1,,2,2,1,1,,,,27,5,8,,,2,,2,3,0,1,1,2,1.345,2.492,39,3,5,3,,,1,1,
147,928,2,2,1,1,,2,2,1,1,,,,59,2,4,,,2,,1,3,0,2,1,1,0.781,1.261,25,1,1,1,1,,,,
148,928,2,5,1,3,1,1,,0,1,,,,56,3,3,,,2,,2,3,0,2,1,2,3.098,6.157,29,4,5,2,,1,,,
149,928,1,2,1,1,,3,2,1,1,1,0,0,44,3,9,,2,2,,1,2,1,2,2,3,0.431,0.835,48,3,5,8,,,,,8
150,928,1,2,1,1,,5,5,3,2,,,,51,2,7,,,2,,1,0,0,2,1,1,0.494,1.594,9,3,5,1,1,,,,
151,928,2,1,1,1,,1,,1,0,,,,27,6,2,,,2,,1,3,0,1,1,1,0.794,0.721,34,3,5,1,1,,,,
152,928,1,1,2,1,,3,3,2,1,,,,40,2,4,,,2,,1,2,0,1,1,4,0.701,3.165,4,2,1,2,,1,,,
153,928,1,4,1,2,,1,,0,1,,,,61,3,2,,,2,,1,2,0,2,1,2,0.978,1.813,18,4,5,2,,1,,,
154,928,2,1,1,2,,1,,1,0,,,,61,1,1,,,2,,1,1,0,1,1,4,2.45,2.765,8,4,5,1,1,,,,
155,928,1,2,1,1,,5,4,2,2,0,1,0,23,4,9,,2,2,,1,3,0,1,2,3,0.423,1.896,54,3,5,3,,,1,0,
156,928,1,2,1,3,2,2,2,1,1,,,,54,3,7,,,2,,1,2,0,2,1,3,0.634,1.1,1,1,4,2,,2,,,
157,928,1,2,1,1,,5,2,1,1,0,3,0,37,3,6,,,2,,1,1,0,2,1,4,1.131,2.137,6,2,5,1,1,,,,
158,928,2,2,1,1,,3,2,1,1,0,0,1,41,3,6,,,2,,1,1,0,1,2,2,0.382,0.785,17,3,5,1,2,,,,
159,928,1,2,1,1,,4,2,1,1,0,2,0,31,2,7,,,2,,1,1,0,1,1,3,0.956,1.588,22,3,5,3,,,1,1,
160,928,1,2,1,1,,4,3,1,2,1,0,0,47,5,9,,1,2,,1,2,4,1,1,1,0.468,0.849,34,4,5,2,,1,,,
161,928,1,2,1,1,,2,2,1,1,,,,51,3,4,,,2,,1,2,0,2,2,2,0.55,1.011,29,2,5,2,,1,,,
163,928,2,1,2,2,,3,3,2,1,,,,19,3,6,,,2,,1,1,0,1,2,2,0.684,2.514,27,3,4,1,2,,,,
164,928,1,1,1,1,,6,6,6,0,,,,45,2,6,,,2,,1,3,1,1,1,4,0.669,1.265,53,4,5,3,,,1,7,
165,928,1,2,1,3,1,2,2,1,1,,,,69,2,5,,,2,,1,1,0,1,1,4,1.116,2.11,6,1,5,1,2,,,,
166,928,1,5,1,2,,2,2,1,1,,,,30,3,6,,,2,,1,3,0,1,1,1,0.794,1.442,42,3,3,3,,,2,7,
167,928,2,2,1,1,,4,2,1,1,1,1,0,47,5,9,,1,2,,1,1,4,1,1,1,0.468,0.849,34,4,5,1,2,,,,
168,928,1,5,1,1,,2,1,0,1,0,1,0,49,3,3,,,2,,2,3,0,2,2,3,0.898,1.006,45,1,5,2,,2,,,
169,928,1,2,1,3,4,6,6,3,3,,,,38,3,9,,2,2,,1,1,1,2,1,1,0.483,1.754,34,3,5,3,,,1,7,
170,928,2,4,1,3,5,1,,0,1,,,,62,2,3,,,2,,1,1,0,2,1,2,0.978,1.813,39,2,4,8,,,,,1
171,928,2,1,1,1,,2,1,0,1,1,0,0,41,1,2,,,2,,1,3,1,2,2,3,0.668,0.749,24,2,1,2,,1,,,
172,928,2,2,1,3,1,2,2,1,1,,,,65,3,5,,,2,,1,1,0,1,1,3,0.767,1.333,47,3,5,3,,,1,1,
173,928,1,2,1,1,,5,2,1,1,0,2,1,37,2,7,,,1,9,,3,0,1,1,4,1.173,2.217,6,3,2,3,,,2,7,
174,928,2,1,1,3,5,3,2,1,1,0,1,0,38,5,2,,,2,,1,3,0,2,1,2,0.744,1.479,27,4,5,3,,,1,7,
175,928,1,2,1,1,,2,2,1,1,,,,52,4,6,,,2,,1,1,0,1,1,2,0.734,1.361,17,4,2,3,,,1,1,
176,928,1,1,2,1,,8,5,2,3,4,4,0,18,1,9,,2,2,,2,3,0,2,2,1,1.127,5.805,36,1,3,1,2,,,,
177,928,1,2,1,1,,2,2,1,1,,,,39,3,6,,,2,,1,1,0,1,1,3,0.695,1.312,37,2,5,1,2,,,,
178,928,2,2,1,3,2,3,2,1,1,0,1,0,26,2,2,,,2,,1,1,0,2,1,3,0.817,1.542,13,2,5,3,,,1,7,
179,928,1,2,1,1,,3,2,1,1,0,0,1,30,5,9,,2,2,,1,2,0,1,1,1,0.649,1.178,42,3,5,3,,,1,2,
180,928,2,3,1,2,,4,1,0,1,2,0,1,32,2,1,,,1,1,,3,0,2,1,3,0.817,0.771,12,3,3,3,,,2,2,
181,928,1,2,1,2,,2,2,1,1,,,,69,3,3,,,1,1,,1,0,1,1,3,0.722,1.363,12,3,4,1,1,,,,
182,928,2,3,1,1,,2,1,0,1,0,0,1,24,4,3,,,1,2,,2,0,2,1,4,2.704,3.051,49,4,5,3,,,1,2,
183,928,1,1,2,1,,6,5,2,3,0,1,0,24,2,9,,2,2,,1,1,0,2,1,1,1.342,4.87,42,3,5,2,,2,,,
184,928,1,5,1,1,,2,2,1,1,,,,50,5,9,,1,2,,1,3,2,1,1,1,0.468,0.849,42,3,5,0,,,,,3
185,928,1,4,1,1,,1,,0,1,,,,91,4,3,,,2,,1,2,0,2,1,3,0.798,1.507,12,3,4,3,,,1,1,
186,928,1,2,1,1,,4,2,1,1,2,0,0,51,2,4,,,2,,1,1,0,1,2,3,0.694,1.332,21,2,5,8,,,,,8
187,928,2,1,1,1,,1,,1,0,,,,58,3,99,9,,9,,9,3,0,1,1,1,1.094,0.992,36,3,5,9,,,,,8
188,928,1,2,1,2,,4,2,1,1,0,0,2,36,4,8,,,2,,1,2,0,2,1,1,0.495,0.799,9,3,5,2,,2,,,
189,928,2,1,1,1,,1,,0,1,,,,27,5,6,,,2,,1,3,0,2,1,3,0.667,1.26,24,2,3,3,,,2,1,
