ID,WEEK,Z1,Z2,Z3,Z4,Z5,Z6,Z6A,Z6AA,Z6AB,Z6B,Z6C,Z6D,Z7,Z8,Z9,Z9A,Z9AA,Z10,Z10A,Z11,Z11A,Z12,SEX,METRO,REGION,HWEIGHT,PWEIGHT,STATE,AW1,AW2,AW3,AW4,AW5A,AW5B,AW6,AW6A,AW7,AW8,AW9,AW10A,AW10B
149,833,1,2,1,3,1,2,2,1,1,,,,70,2,2,,,2,,1,8,0,2,1,4,0.529,0.874,8,1,2,5,8,,,8,8,1,8,9,,
150,833,1,2,1,1,,4,2,1,1,0,0,2,31,2,8,,,2,,1,1,0,1,1,4,1.235,2.04,30,1,3,5,1,2,,,3,1,1,1,2,
151,833,2,2,1,3,1,2,2,1,1,,,,77,2,6,,,2,,1,3,0,1,1,4,2.841,5.453,53,1,2,5,1,2,,,1,1,1,3,,
152,833,1,1,1,1,,1,,1,0,,,,30,4,6,,,2,,1,1,0,1,1,4,1.01,0.97,53,1,4,5,8,,,1,3,1,2,2,,2
153,833,1,2,1,1,,2,2,1,1,,,,42,4,8,,,2,,1,3,1,1,1,4,0.364,0.698,6,1,4,5,1,2,,,1,1,2,3,,
154,833,1,2,1,3,2,6,2,1,1,3,1,0,38,3,9,,2,2,,1,1,0,2,1,4,0.981,1.621,16,1,4,5,1,1,,,1,1,1,1,1,
155,833,1,1,2,2,,5,4,3,1,1,0,0,19,2,8,,,2,,1,1,0,1,1,4,0.757,2.501,4,2,,,,,,,,,1,3,,
156,833,1,4,1,3,1,1,,0,1,,,,76,1,1,,,2,,1,2,0,2,1,4,3.099,5.949,6,1,3,5,2,,2,,2,1,1,3,,
157,833,2,4,1,3,5,1,,0,1,,,,73,2,3,,,2,,1,2,0,2,1,4,0.568,1.089,6,1,4,4,2,,2,,2,2,2,2,,2
158,833,1,1,2,3,1,1,,0,1,,,,85,4,8,,,2,,1,1,0,2,1,4,0.675,1.297,6,1,3,5,1,1,,,1,1,1,8,,
