ID,WEEK,Z1,Z2,Z3,Z4,Z5,Z6,Z6A,Z6AA,Z6AB,Z6B,Z6C,Z6D,Z7,Z8,Z9,Z9A,Z9AA,Z10,Z10A,Z11,Z11A,Z12,SEX,METRO,REGION,HWEIGHT,PWEIGHT,STATE,AW1,AW2,AW3,AW4,AW5A,AW5B,AW6,AW7,AW8,AW9,AW10,AW11,AW12A,AW12B,AW12C,AW12D,AW13,AW14,AW15,AW16A,AW16B,AW17,AW18,AW19,AW20,AW21
51,837,1,2,1,1,,2,2,1,1,,,,61,2,99,9,,2,,1,2,0,1,1,2,0.627,1.303,39,1,3,5,2,,1,,2,2,3,2,,1,2,3,1,2,2,1,,2,2,3,2,,4
52,837,1,2,1,1,,2,2,1,1,,,,64,2,4,,,2,,1,3,1,2,2,2,0.262,0.497,26,1,3,5,9,,,9,8,9,1,2,,1,3,1,1,2,1,7,,,3,3,3,9,2
53,837,1,2,1,3,1,5,2,1,1,0,0,3,32,4,9,,1,2,,1,1,0,2,1,1,0.85,1.552,42,1,3,5,1,1,,,1,1,3,2,,1,3,1,3,1,3,8,,,3,3,1,,4
54,837,1,2,1,3,1,2,2,1,1,,,,70,4,3,,,2,,1,3,0,1,1,1,0.808,1.477,36,1,1,2,7,,,0,3,1,2,2,,1,2,2,1,2,2,7,,,3,3,3,7,2
55,837,1,2,1,1,,4,2,1,1,1,1,0,39,2,7,,,2,,1,2,0,1,1,1,1.119,2.043,36,1,3,5,2,,1,,2,1,3,2,,1,3,3,3,2,3,7,,,3,3,2,,3
56,837,2,5,2,1,,3,3,2,1,,,,27,5,4,,,2,,1,3,0,2,1,3,0.791,1.495,12,2,,,,,,,,,,,,,,,,3,,,,,,,3,1,3
57,837,1,2,1,3,1,2,2,1,1,,,,77,2,5,,,2,,1,1,0,1,2,2,0.778,1.479,26,1,3,5,1,2,,,1,1,1,2,,1,1,1,1,3,1,7,,,3,3,1,,3
58,837,1,4,1,1,,1,,0,1,,,,44,2,5,,,2,,1,2,0,2,2,3,0.623,1.241,54,2,,,,,,,,,,,,,,,,2,,,,,,,2,,3
59,837,1,2,1,1,,3,2,1,1,0,0,1,27,3,7,,,2,,1,1,0,2,2,3,0.646,1.285,24,1,2,5,1,1,,,3,1,3,2,,1,2,3,2,2,2,1,,2,3,3,1,,4
60,837,1,5,1,2,,3,2,1,1,0,1,0,60,2,2,,,2,,1,2,0,2,1,2,0.508,1.056,26,1,4,5,2,,1,,2,2,2,1,1,1,3,3,1,2,1,1,,1,2,3,2,,3
61,837,2,4,1,3,1,1,,0,1,,,,99,4,5,,,2,,1,3,0,2,1,2,0.565,1.174,39,1,4,5,1,2,,,3,2,3,2,,1,3,3,1,2,1,2,2,,3,3,3,1,3
62,837,1,2,1,1,,2,2,1,1,,,,99,4,99,9,,2,,1,9,2,2,1,3,0.41,0.775,24,1,2,5,9,,,9,9,9,8,2,,8,8,8,9,2,2,7,,,3,3,9,8,4
63,837,1,4,1,2,,1,,0,1,,,,66,2,1,,,2,,1,3,1,2,2,3,0.258,0.512,54,2,,,,,,,,,,,,,,,,,,,,,,,3,7,8
64,837,2,5,1,1,,2,2,1,1,,,,38,5,6,,,2,,1,3,0,1,1,2,0.514,1.069,26,1,4,5,2,,2,,2,2,3,2,,1,2,3,1,2,2,1,,2,2,3,3,1,2
65,837,1,2,1,1,,3,2,1,1,1,0,0,41,1,4,,,2,,1,3,0,1,2,1,1.016,2.235,42,2,,,,,,,,,,,,,,,,,,,,,,,3,7,7
66,837,1,2,1,1,,6,2,1,1,0,2,2,35,5,9,,2,2,,1,1,0,1,1,3,0.747,1.412,24,1,4,5,2,,2,,2,1,1,2,,1,2,1,1,2,2,7,,,3,3,1,,4
67,837,1,2,1,1,,4,4,2,2,,,,49,2,4,,,2,,1,1,0,1,2,3,0.441,1.754,13,1,4,5,1,1,,,1,1,3,1,0,1,3,1,1,3,2,1,,2,3,3,1,,4
68,837,1,2,2,1,,4,4,3,1,,,,52,4,7,,,2,,1,1,0,2,2,3,0.474,1.001,47,1,4,5,1,2,,,1,1,3,2,,1,2,3,1,2,2,8,,,3,3,1,,3
69,837,1,5,1,3,5,1,,1,0,,,,70,1,1,,,2,,1,2,0,1,2,1,1.043,1.028,23,1,4,5,2,,1,,2,7,3,8,,2,2,1,2,2,1,1,,1,3,1,2,,1
70,837,1,3,1,1,,3,2,0,2,1,0,0,39,6,4,,,2,,2,2,0,2,2,3,0.945,1.879,37,1,1,5,2,,1,,2,7,4,2,,1,3,3,3,2,2,1,,2,3,3,2,,4
71,837,1,2,1,2,,3,2,1,1,0,1,0,36,2,5,,,2,,1,1,0,2,1,1,1.144,2.09,42,1,4,5,9,,,1,1,1,3,1,2,3,1,1,3,3,2,2,2,,3,3,1,,5
72,837,1,3,1,3,2,3,3,1,2,,,,53,2,7,,,2,,1,2,0,2,1,1,0.809,2.95,9,1,4,5,2,,2,,2,1,3,2,,1,3,1,8,1,3,2,2,,3,3,2,,3
73,837,2,5,1,1,,3,2,1,1,1,0,0,38,2,3,,,2,,1,2,0,2,1,2,0.733,1.525,39,1,3,4,2,,1,,2,2,4,2,,1,3,3,3,2,3,8,,,3,3,2,,2
74,837,1,2,1,1,,3,2,1,1,0,0,1,20,1,1,,,2,,1,3,0,1,1,3,0.886,1.676,37,1,3,2,2,,1,,2,7,2,2,,2,2,1,3,2,3,2,2,,3,3,3,1,3
75,837,1,5,1,1,,1,,1,0,,,,50,4,6,,,2,,2,3,0,1,1,1,0.879,0.802,42,1,3,5,2,,1,,2,2,3,8,,1,3,3,3,2,1,1,,2,2,3,3,7,3
