ID,WEEK,Z1,Z2,Z3,Z4,Z5,Z6,Z6A,Z6AA,Z6AB,Z6B,Z6C,Z6D,Z7,Z8,Z9,Z9A,Z9AA,Z10,Z10A,Z11,Z11A,Z12,SEX,METRO,REGION,HWEIGHT,WEIGHT,STATE,AW1,AW2,AW3,AW4,AW5A,AW5B,AW6,AW6A,AW7,AW8
115,932,1,2,1,3,4,2,2,1,1,,,,51,2,4,,,2,,1,2,0,1,2,4,0.766,1.621,32,1,4,5,2,,1,,2,2,3
116,932,1,5,1,3,2,6,2,1,1,2,0,2,38,4,8,,,2,,1,2,0,2,1,4,0.462,0.955,4,1,2,5,2,,2,,2,2,2
117,932,1,2,1,1,,2,2,1,1,,,,30,5,9,,2,2,,1,1,0,1,1,2,0.611,1.087,29,1,4,5,1,2,,,1,1,3
118,932,1,2,1,1,,5,2,1,1,2,1,0,39,5,9,,2,2,,1,1,0,1,1,2,0.593,1.055,27,1,4,5,2,,2,,3,1,3
119,932,2,4,1,1,,1,,0,1,,,,33,5,6,,,2,,1,3,0,2,1,2,0.927,1.65,27,1,4,5,2,,2,,2,2,2
120,932,1,2,1,2,,4,3,1,2,1,0,0,48,2,2,,,2,,1,1,0,2,1,2,0.895,3.189,27,1,3,4,1,1,,,1,1,3
121,932,1,2,1,1,,2,2,1,1,,,,45,4,9,,1,2,,1,3,0,1,1,2,0.747,1.392,55,1,4,5,1,2,,,1,1,1
122,932,2,2,1,1,,2,2,1,1,,,,45,3,7,,,2,,1,1,1,2,1,2,0.448,0.797,27,2,,,,,,,,,3
123,932,1,2,1,2,,2,2,1,1,,,,99,2,6,,,2,,1,2,0,2,1,4,0.641,1.329,4,1,4,5,2,,1,,2,2,2
124,932,1,2,1,1,,3,2,1,1,0,0,1,19,2,4,,,2,,1,3,0,2,1,4,0.81,1.677,49,2,,,,,,,,,2
125,932,1,2,1,3,2,7,2,1,1,1,2,2,34,3,5,,,2,,1,3,2,2,1,4,0.394,0.817,49,1,3,4,2,,1,,3,1,2
126,932,2,2,1,1,,2,2,1,1,,,,24,3,5,,,2,,1,3,0,1,1,4,0.467,0.966,49,2,,,,,,,,,2
127,932,1,2,1,3,1,2,2,1,1,,,,65,3,99,9,,2,,1,1,0,2,1,4,0.413,0.855,4,1,3,5,2,,2,,8,2,2
128,932,1,2,1,2,,7,3,1,2,1,2,1,54,2,7,,,2,,1,3,0,2,1,4,0.527,2.182,4,1,4,5,1,2,,,1,1,1
129,932,2,1,1,2,,3,2,2,0,0,1,0,19,2,1,,,2,,2,3,0,1,1,1,0.738,1.433,44,2,,,,,,,,,2
130,932,2,3,1,3,4,1,,1,0,,,,36,1,2,,,2,,1,2,0,1,1,1,1.437,1.396,9,1,3,4,1,1,,,1,1,2
131,932,2,2,1,1,,4,2,1,1,1,0,1,29,2,8,,,2,,1,3,0,1,1,1,0.561,1.091,25,1,3,4,2,,1,,2,1,3
132,932,2,1,1,1,,3,3,0,3,,,,28,2,3,,,2,,2,3,0,2,1,2,1.597,2.973,17,1,3,5,2,,2,,2,7,3
133,932,1,2,1,1,,3,3,1,2,,,,50,3,8,,,2,,1,2,0,2,1,1,0.569,2.211,9,1,4,5,2,,1,,2,1,2
134,932,1,1,1,3,1,1,,0,1,,,,83,2,1,,,2,,1,1,2,2,1,1,0.384,0.745,9,1,3,5,1,1,,,1,1,2
135,932,2,1,2,1,,4,4,2,2,,,,20,2,98,1,,2,,2,3,2,2,1,1,0.64,2.488,9,2,,,,,,,,,2
136,932,1,2,1,3,2,3,2,1,1,0,0,1,31,2,9,,2,2,,1,3,1,2,1,2,0.545,1.015,17,1,3,5,0,,,1,3,1,2
137,932,2,3,1,3,2,5,1,0,1,2,1,1,35,3,1,,,2,,1,2,0,2,1,1,0.722,0.702,25,1,4,5,2,,1,,3,7,2
138,932,1,4,1,3,1,1,,0,1,,,,62,3,6,,,2,,1,2,0,2,1,1,0.836,0.812,25,1,2,5,8,,,1,1,2,1
139,932,1,1,2,1,,5,5,2,3,,,,22,3,98,1,,2,,1,2,0,2,1,1,0.875,3.399,9,2,,,,,,,,,3
140,932,1,4,1,3,1,1,,0,1,,,,84,1,1,,,2,,1,1,0,2,2,1,1.821,3.608,23,1,2,4,2,,8,,3,1,3
141,932,1,1,1,1,,1,,1,0,,,,62,5,8,,,2,,1,2,0,1,1,1,0.711,0.691,25,1,4,5,2,,1,,2,2,2
142,932,1,5,1,1,,2,1,1,0,0,1,0,39,2,5,,,2,,1,2,0,1,2,1,0.491,0.486,25,1,4,5,2,,1,,2,2,3
143,932,1,1,2,2,,4,3,2,1,0,0,1,20,3,1,,,2,,1,3,0,1,2,1,0.454,1.799,33,2,,,,,,,,,3
144,932,2,1,1,1,,2,2,1,1,,,,33,2,5,,,1,1,,3,0,2,1,1,1.101,2.144,36,1,3,4,8,,,1,8,1,3
145,932,2,1,1,1,,1,,1,0,,,,25,2,5,,,1,1,,2,0,1,1,1,0.726,0.706,36,1,3,4,2,,2,,0,1,3
146,932,2,3,1,1,,1,,1,0,,,,30,1,3,,,2,,2,3,0,1,1,1,2.798,2.724,36,2,,,,,,,,,2
147,932,1,1,2,2,,2,2,0,2,,,,22,3,6,,,2,,1,2,0,2,1,3,1.009,1.885,21,1,3,3,2,,1,,2,1,2
148,932,1,2,1,3,5,4,2,1,1,2,0,0,37,2,2,,,2,,1,2,0,1,2,2,0.418,0.852,39,1,3,5,2,,1,,2,8,2
149,932,1,2,1,1,,4,2,1,1,0,0,2,30,2,6,,,2,,1,1,1,2,1,1,0.55,1.071,42,2,,,,,,,,,3
150,932,1,2,1,1,,2,2,1,1,,,,23,2,2,,,2,,1,3,0,2,2,2,0.671,1.366,39,2,,,,,,,,,2
151,932,2,1,1,1,,1,,1,0,,,,57,4,9,,1,2,,1,3,2,1,1,1,0.555,0.54,36,1,3,5,8,,,2,2,1,3
152,932,1,1,1,3,5,1,,1,0,,,,33,2,5,,,2,,1,1,0,1,1,2,0.719,0.669,39,1,4,4,1,1,,,1,1,3
153,932,1,2,1,1,,4,3,2,1,1,0,0,39,2,5,,,2,,1,1,0,2,2,3,0.931,1.946,48,1,3,4,2,,2,,2,1,2
154,932,2,2,1,1,,2,2,1,1,,,,27,4,9,,1,2,,5,3,1,1,1,3,0.263,0.485,51,2,,,,,,,,,2
155,932,2,2,1,1,,2,2,1,1,,,,52,5,9,,2,2,,1,1,0,1,1,3,0.889,1.486,48,1,3,5,1,1,,,1,1,3
156,932,1,2,1,1,,3,2,1,1,0,0,1,31,4,8,,,2,,1,1,0,1,2,3,0.442,0.806,51,1,3,5,1,1,,,1,1,1
157,932,1,2,1,3,1,2,1,0,1,1,0,0,71,1,98,2,,2,,2,3,0,2,1,3,2.619,2.188,22,1,2,5,8,,,8,8,1,2
158,932,1,2,1,1,,3,2,1,1,1,0,0,43,2,7,,,2,,1,3,0,2,1,3,0.94,1.736,51,1,3,5,2,,1,,2,7,2
159,932,1,4,1,3,1,1,,0,1,,,,74,2,2,,,2,,1,3,0,2,2,2,0.454,1.063,20,1,3,5,9,,,8,8,1,2
160,932,1,2,2,1,,5,5,2,3,,,,21,3,9,,1,2,,1,1,1,2,1,3,0.505,1.885,1,2,,,,,,,,,2
161,932,1,2,1,3,1,2,2,1,1,,,,73,2,2,,,2,,1,3,0,1,1,1,1.446,2.814,42,1,3,5,0,,,0,0,8,3
162,932,1,2,1,3,2,5,3,2,1,1,0,1,39,4,3,,,2,,1,3,1,2,1,2,0.393,0.699,29,1,2,1,0,,,0,1,7,2
163,932,1,2,1,1,,5,2,1,1,1,2,0,31,2,5,,,2,,1,1,0,1,1,2,0.883,1.573,29,2,,,,,,,,,2
164,932,1,1,1,1,,2,2,1,1,,,,20,6,4,,,2,,1,3,0,1,1,3,0.656,1.211,10,1,3,3,8,,,2,8,7,2
165,932,1,2,1,3,2,2,2,1,1,,,,64,1,3,,,2,,1,1,0,2,2,2,2.241,5.245,29,1,4,5,1,1,,,1,1,3
166,932,1,2,1,1,,4,2,1,1,1,1,0,48,2,2,,,2,,1,1,0,2,2,3,0.648,1.183,12,1,3,5,2,,1,,2,1,2
167,932,1,1,2,2,,3,3,2,1,,,,21,3,98,2,,2,,1,3,0,1,2,3,0.69,3.024,28,1,3,4,2,,2,,2,7,2
168,932,1,2,1,3,2,5,2,1,1,1,2,0,39,5,8,,,2,,1,2,0,2,1,1,0.645,1.254,36,1,3,5,2,,1,,2,2,2
169,932,1,2,1,1,,2,2,1,1,,,,27,4,7,,,2,,1,2,2,2,1,3,0.383,0.708,24,1,3,5,2,,2,,2,1,2
170,932,1,2,1,1,,2,2,1,1,,,,59,1,7,,,2,,1,2,0,2,1,2,3.097,5.514,19,1,4,5,2,,1,,2,2,2
171,932,1,4,1,1,,4,2,0,2,2,0,0,50,4,4,,,2,,1,2,0,2,1,3,0.512,0.945,54,1,3,5,2,,1,,3,2,2
172,932,1,2,1,1,,4,2,1,1,0,0,2,31,5,98,8,,2,,1,3,0,1,1,1,0.502,0.976,34,2,,,,,,,,,3
173,932,2,5,1,1,,4,1,0,1,0,2,1,29,2,2,,,2,,2,2,0,2,1,1,1.612,1.569,42,2,,,,,,,,,2
174,932,2,2,1,3,3,3,1,0,1,0,0,2,22,3,2,,,2,,1,3,0,2,1,2,1.119,1.042,39,2,,,,,,,,,1
175,932,1,2,1,2,,3,2,1,1,0,0,1,34,3,6,,,2,,1,3,0,2,2,2,0.654,1.331,55,1,3,5,2,,2,,2,2,2
